S.No,States/UTs,Road Environment,Total Accidents,Persons Killed,Greviously Injured,Minor Injury
35,Ladakh,Market/ Commercial area,30,5,9,33
36,Lakshadweep,Market/ Commercial area,0,0,0,0
37,Puducherry,Market/ Commercial area,409,46,156,245
1,Andhra Pradesh,Open Area,11747,4907,2583,8874
2,Arunachal Pradesh,Open Area,105,56,86,34
3,Assam,Open Area,2309,1013,1570,175
4,Bihar,Open Area,5900,4905,4608,186
5,Chhattisgarh,Open Area,6899,3283,784,4866
6,Goa,Open Area,1079,86,101,201
7,Gujarat,Open Area,9158,4976,4792,3537
8,Haryana,Open Area,4223,2130,582,2723
9,Himachal Pradesh,Open Area,1438,716,740,1463
10,Jharkhand,Open Area,2174,1715,1054,122
11,Karnataka,Open Area,22954,7192,12579,14688
12,Kerala,Open Area,6378,705,5127,1959
13,Madhya Pradesh,Open Area,20597,6113,2380,18281
14,Maharashtra*,Open Area,16361,8698,8670,3688
15,Manipur,Open Area,88,35,61,66
16,Meghalaya,Open Area,88,69,77,19
17,Mizoram,Open Area,35,36,24,17
18,Nagaland,Open Area,57,16,11,40
19,Orissa,Open Area,5610,2748,2778,1977
20,Punjab,Open Area,2961,2305,922,447
21,Rajasthan,Open Area,12916,6892,3136,8865
22,Sikkim,Open Area,88,26,59,46
23,Tamil Nadu,Open Area,26662,8031,10642,16808
24,Telangana,Open Area,9088,4207,1305,7502
25,Tripura,Open Area,135,62,172,2
26,Uttarakhand,Open Area,707,484,411,142
27,Uttar Pradesh,Open Area,14355,8449,5932,3117
28,West Bengal,Open Area,4368,2474,3421,600
29,A & N Islands,Open Area,16,4,4,6
30,Chandigarh,Open Area,160,79,6,127
31,D & N Haveli,Open Area,20,11,15,6
32,Daman & Diu,Open Area,0,0,0,0
33,Delhi,Open Area,2129,637,63,1677
34,Jammu & Kashmir,Open Area,2199,378,1692,1508
35,Ladakh,Open Area,93,20,15,72
36,Lakshadweep,Open Area,0,0,0,0
37,Puducherry,Open Area,176,31,92,103
1,Andhra Pradesh,Others,496,190,172,340
2,Arunachal Pradesh,Others,31,17,22,8
3,Assam,Others,1210,500,916,101
4,Bihar,Others,0,0,0,0
5,Chhattisgarh,Others,619,339,90,602
6,Goa,Others,11,0,0,0
7,Gujarat,Others,518,131,221,98
8,Haryana,Others,2714,1339,706,1643
9,Himachal Pradesh,Others,47,18,24,61
10,Jharkhand,Others,505,378,266,106
11,Karnataka,Others,1372,392,731,1167
12,Kerala,Others,19485,1980,15487,6062
13,Madhya Pradesh,Others,8643,2033,1195,7473
14,Maharashtra*,Others,0,0,0,3
15,Manipur,Others,0,0,0,0
16,Meghalaya,Others,39,36,17,6
17,Mizoram,Others,0,0,0,0
18,Nagaland,Others,206,10,41,95
19,Orissa,Others,1290,642,660,526
20,Punjab,Others,659,542,229,137
21,Rajasthan,Others,2179,1022,753,1116
22,Sikkim,Others,0,0,0,0
23,Tamil Nadu,Others,760,222,352,421
24,Telangana,Others,4500,1364,340,3624
25,Tripura,Others,0,0,0,0
26,Uttarakhand,Others,18,13,21,15
27,Uttar Pradesh,Others,6927,3774,2958,1868
28,West Bengal,Others,1729,761,1164,333
29,A & N Islands,Others,0,0,0,0
30,Chandigarh,Others,0,0,0,0
31,D & N Haveli,Others,11,5,8,4
32,Daman & Diu,Others,0,0,0,0
33,Delhi,Others,1000,228,40,856
34,Jammu & Kashmir,Others,1239,188,1323,369
35,Ladakh,Others,41,9,8,23
36,Lakshadweep,Others,0,0,0,0
37,Puducherry,Others,97,19,40,57
