S.No,States/UTs,Type of Traffic Violations,Number of Accidents,Persons  Killed,Greviously Injured,Minor Injury
12,Kerala,Jumping Red Light,50,1,34,25
13,Madhya Pradesh,Jumping Red Light,354,29,85,224
14,Maharashtra,Jumping Red Light,9,0,8,2
15,Manipur,Jumping Red Light,0,0,0,0
16,Meghalaya,Jumping Red Light,0,0,0,0
17,Mizoram,Jumping Red Light,0,0,0,0
18,Nagaland,Jumping Red Light,0,0,0,0
19,Orissa,Jumping Red Light,64,16,32,20
20,Punjab,Jumping Red Light,155,104,50,30
21,Rajasthan,Jumping Red Light,9,3,2,6
22,Sikkim,Jumping Red Light,0,0,0,0
23,Tamil Nadu,Jumping Red Light,35,5,21,17
24,Telangana,Jumping Red Light,65,4,2,49
25,Tripura,Jumping Red Light,0,0,0,0
26,Uttarakhand,Jumping Red Light,0,0,0,0
27,Uttar Pradesh,Jumping Red Light,691,334,266,215
28,West Bengal,Jumping Red Light,22,8,16,2
29,A & N Islands,Jumping Red Light,0,0,0,0
30,Chandigarh,Jumping Red Light,13,8,2,14
31,D & N Haveli,Jumping Red Light,0,0,0,0
32,Daman & Diu,Jumping Red Light,0,0,0,0
33,Delhi,Jumping Red Light,332,97,16,298
34,Jammu & Kashmir*,Jumping Red Light,0,0,30,31
35,Ladakh,Jumping Red Light,12,2,4,14
36,Lakshadweep,Jumping Red Light,0,0,0,0
37,Puducherry,Jumping Red Light,3,0,2,5
1,Andhra Pradesh,Use of Mobile Phone,134,34,30,102
2,Arunachal Pradesh,Use of Mobile Phone,7,2,4,4
3,Assam,Use of Mobile Phone,267,49,208,19
4,Bihar,Use of Mobile Phone,113,92,148,1
5,Chhattisgarh,Use of Mobile Phone,20,8,3,19
6,Goa,Use of Mobile Phone,0,0,0,0
7,Gujarat,Use of Mobile Phone,129,37,73,132
8,Haryana,Use of Mobile Phone,109,45,8,90
9,Himachal Pradesh,Use of Mobile Phone,45,21,22,39
10,Jharkhand,Use of Mobile Phone,99,79,82,18
11,Karnataka,Use of Mobile Phone,10,1,6,2
12,Kerala,Use of Mobile Phone,46,3,33,14
13,Madhya Pradesh,Use of Mobile Phone,1043,279,189,899
14,Maharashtra,Use of Mobile Phone,6,2,3,0
15,Manipur,Use of Mobile Phone,42,0,0,58
16,Meghalaya,Use of Mobile Phone,0,0,0,0
17,Mizoram,Use of Mobile Phone,1,1,4,3
18,Nagaland,Use of Mobile Phone,0,0,0,0
19,Orissa,Use of Mobile Phone,352,126,223,132
20,Punjab,Use of Mobile Phone,133,93,56,27
21,Rajasthan,Use of Mobile Phone,52,38,38,29
22,Sikkim,Use of Mobile Phone,0,0,0,0
