S.No,States/UTs,YEAR,Changed Total Road Accident,Changed Total Accidents Per Lakh Population,Changed Total Killed in Road Accidents,Changed Total Persons Died in Road Accidents Per Lakh Population,Changed Total Injured in Road Accidents,Changed Total Injured in Road Accidents Per Lakh Population,Changed Severity of Road Accidents,Changed Fatal Road Accidents ,Changed Road Accidents on National Highways,Changed Killed in Road Accidents on National Highways,Changed Persons Injured in Road Accidents on National Highways,Changed Fatal Road Accidents on National Highways,Changed Road Accidents on State Highways,Changed Killed in Road Accidents on State Highways,Changed Injured in Road Accidents on State Highways,Changed Fatal Road Accidents on State Highways,Changed Total Other Road Accidents,Changed Killed on Other Road Accidents,Changed Fatal Accidents Other Road Accidents,Changed Injured on Other Road Accidents,Changed
9,Himachal Pradesh,2020,-634,-9,-253,-4,-1681,-24,0,-196,-351,-173,-736,-122,-155,-57,-404,-59,-128,-23,-15,-541,
10,Jharkhand,2020,-812,-2,-757,-2,-523,-2,-3.8,-639,-302,-313,-253,-262,-136,-84,-18,-107,-374,-360,-270,-252,
11,Karnataka,2020,-6480,-11,-1198,-2,-10955,-18,1.6,-976,-2133,-512,-3704,-372,-981,-279,-2378,-223,-3366,-407,-381,-4873,
12,Kerala,2020,-13234,-36,-1461,-4,-15545,-43,-0.1,-1360,-2865,-372,-3356,-327,-2221,-350,-2817,-328,-8148,-739,-705,-9372,
13,Madhya Pradesh,2020,-5403,-8,-108,0,-6360,-8,2.4,-308,-574,118,-648,12,-1415,-154,-1079,-212,-3414,-72,-108,-4633,
14,Maharashtra,2020,-7954,-7,-1219,-1,-8714,-7,7.5,-1014,-1859,-271,-2010,-200,-1696,-373,-2129,-280,-4399,-575,-534,-4575,
15,Manipur,2020,-240,-9,-29,-1,-392,-15,6.2,-34,-122,-21,-201,-22,-97,-19,-151,-17,-21,11,5,-40,
16,Meghalaya,2020,-268,-10,-35,-1,-2,0,30.2,-39,-197,-8,26,-10,-29,-7,-11,-9,-42,-20,-20,-17,
17,Mizoram,2020,-9,-1,-6,0,12,1,1.8,-5,4,1,1,1,-9,-3,-3,-2,-4,-4,-4,14,
18,Nagaland,2020,142,5,27,1,40,2,3.3,22,74,11,18,4,47,9,26,14,21,7,4,-4,
19,Odisha,2020,-1247,-4,-595,-1,-2355,-6,0.1,-453,-475,-219,-938,-189,-830,-324,-1183,-253,58,-52,-11,-234,
20,Punjab,2020,-1145,-4,-627,-2,-908,-3,3.6,-544,-391,-201,-480,-122,-332,-190,-85,-208,-422,-236,-214,-343,
21,Rajasthan,2020,-4366,-6,-1313,-2,-6210,-8,3.4,-1108,-1119,-550,-1906,-461,-567,-239,-1018,-222,-2680,-524,-425,-3286,
22,Sikkim,2020,-24,-3,-26,-4,-100,-16,-11,-27,-22,-15,-34,-10,0,-6,-54,-7,-2,-5,-10,-12,
23,Tamil Nadu,2020,-11744,-17,-2466,-4,-16586,-23,-0.7,-2254,-2364,-753,-4324,-670,-2066,-525,-3697,-445,-7314,-1188,-1139,-8565,
24,Telangana,2020,-2398,0,-82,0,-3338,0,3.6,-43,-532,129,-942,122,-509,-143,-599,-117,-1357,-68,-48,-1797,
25,Tripura,2020,-189,-5,-47,-1,-346,-9,4.7,-45,-64,-28,-115,-20,-39,-3,-122,-6,-86,-16,-19,-109,
26,Uttarakhand,2020,-311,-3,-193,-2,-603,-5,0.6,-158,-138,-63,-303,-50,-122,-107,-152,-77,-51,-23,-31,-148,
27,Uttar Pradesh,2020,-8329,-4,-3506,-2,-6522,-3,2.7,-2656,-2486,-971,-1914,-729,-2847,-991,-2496,-803,-2996,-1544,-1124,-2112,
28,West Bengal,2020,-978,-1,-573,-1,-1443,-1,-0.4,-538,-199,-192,-455,-171,-428,-256,-557,-250,-351,-125,-117,-431,
29,A & N Islands,2020,-89,-15,-6,-1,-62,-11,1.2,-8,-29,1,-19,-1,-34,-2,-28,-2,-26,-5,-5,-15,
30,Chandigarh,2020,-146,-7,-51,-2,-127,-7,-0.8,-50,-21,-7,-15,-7,0,0,0,0,-125,-44,-43,-112,
31,D & N Haveli,2020,32,6,15,2,14,3,-8.1,13,0,0,0,0,-2,-10,-8,-9,34,25,22,22,
32,Daman & Diu,2020,-69,-18,-28,-8,-74,-20,-40.6,-23,0,0,0,0,-1,-4,-5,-1,-68,-24,-22,-69,
33,Delhi,2020,-1432,-6,-267,-2,-1490,-7,2.5,-270,-397,-129,-356,-125,0,0,0,0,-1035,-138,-145,-1134,
34,Jammu & Kashmir,2020,-936,-7,-268,-1,-1638,-13,-2.2,-139,-569,-126,-880,-70,6,-21,-8,-21,-373,-121,-48,-750,
35,Ladakh,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,Lakshadweep,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,Puducherry,2020,-423,-25,-2,0,-600,-35,4.4,-10,-86,-11,-224,-6,-64,-3,-153,0,-273,12,-4,-223,
1,Andhra Pradesh,2019,-2483,-3,428,1,1163,1,5.4,391,-440,185,400,117,-1110,139,-135,167,-933,104,107,898,
2,Arunachal Pradesh,2019,-40,-3,-48,-4,-14,-1,-9.6,-26,6,-2,33,0,-4,-14,8,-4,-42,-32,-22,-55,
3,Assam,2019,102,0,242,1,98,0,2.4,190,25,149,236,71,-9,-22,-141,5,86,115,114,3,
4,Bihar,2019,407,0,476,1,527,1,1.9,487,510,385,525,404,-144,-25,175,-52,41,116,135,-173,
5,Chhattisgarh,2019,35,0,411,2,375,1,2.9,386,-184,37,-51,59,-126,98,40,125,345,276,202,386,
6,Goa,2019,-269,-16,35,1,-101,-7,1.5,35,-181,3,-167,5,92,9,-20,9,-180,23,21,86,
7,Gujarat,2019,-1723,-3,-606,-2,-1209,-2,0.8,-450,-486,-273,-565,-216,-394,-251,-224,-122,-843,-82,-112,-420,
8,Haryana,2019,-294,-2,-61,0,-658,-3,0.7,-122,-916,-187,-500,-304,-920,-339,-844,-222,1542,465,404,686,
9,Himachal Pradesh,2019,-237,-3,-62,-1,-647,-9,1.1,4,-59,17,-231,11,-72,-21,-213,0,-106,-58,-7,-203,
10,Jharkhand,2019,-177,-1,259,1,-157,-1,7.2,153,458,432,260,392,-228,-120,-203,-98,-407,-53,-141,-214,
