S. No.,States/UTs,Vehicle Type,Total Road Accidents,Killed,Greviously Injured,Minor Injured
37,Puducherry,Two Wheelers,639,62,287,423
1,Andhra Pradesh,Auto Rickshaws,1478,548,558,2143
2,Arunachal Pradesh,Auto Rickshaws,18,8,24,9
3,Assam,Auto Rickshaws,528,106,512,34
4,Bihar,Auto Rickshaws,558,404,781,40
5,Chhattisgarh,Auto Rickshaws,140,59,20,128
6,Goa,Auto Rickshaws,15,0,3,0
7,Gujarat,Auto Rickshaws,976,376,642,529
8,Haryana,Auto Rickshaws,260,219,77,268
9,Himachal Pradesh,Auto Rickshaws,2,2,8,7
10,Jharkhand,Auto Rickshaws,366,249,259,42
11,Karnataka,Auto Rickshaws,1573,336,982,1262
12,Kerala(*),Auto Rickshaws,3224,183,1331,923
13,Madhya Pradesh,Auto Rickshaws,1961,341,254,1729
14,Maharashtra,Auto Rickshaws,1109,371,709,388
15,Manipur,Auto Rickshaws,11,2,8,6
16,Meghalaya,Auto Rickshaws,6,1,10,0
17,Mizoram,Auto Rickshaws,0,0,0,0
18,Nagaland,Auto Rickshaws,118,2,12,43
19,Odisha,Auto Rickshaws,502,194,304,315
20,Punjab,Auto Rickshaws,304,228,139,43
21,Rajasthan,Auto Rickshaws,285,119,85,236
22,Sikkim,Auto Rickshaws,0,0,0,0
23,Tamil Nadu,Auto Rickshaws,1019,206,476,1119
24,Telangana,Auto Rickshaws,1135,357,179,1679
25,Tripura,Auto Rickshaws,33,13,56,0
26,Uttarakhand,Auto Rickshaws,18,14,23,4
27,Uttar Pradesh,Auto Rickshaws,2750,1364,1269,738
28,West Bengal,Auto Rickshaws,149,59,107,27
29,A & N  Islands,Auto Rickshaws,5,1,1,5
30,Chandigarh,Auto Rickshaws,17,7,0,26
31,D & N Haveli,Auto Rickshaws,4,1,6,7
32,Daman & Diu,Auto Rickshaws,0,0,0,0
33,Delhi,Auto Rickshaws,152,36,2,168
34,Jammu & Kashmir,Auto Rickshaws,41,11,58,45
35,Ladakh,Auto Rickshaws,0,0,0,0
36,Lakshadweep,Auto Rickshaws,0,0,0,0
37,Puducherry,Auto Rickshaws,7,0,3,9
1,Andhra Pradesh,"Cars, Taxis & Vans",2116,596,443,1609
2,Arunachal Pradesh,"Cars, Taxis & Vans",97,53,61,28
3,Assam,"Cars, Taxis & Vans",1301,455,1012,102
4,Bihar,"Cars, Taxis & Vans",752,504,732,38
