S.No,States/UTs,TIN,State Code,Age of impacting Vehicle,Total Accidents,Persons Killed,Greviously Injured,Minor Injury
11,Karnataka,29,KA,10.1 - 15 Years,4686,1291,2723,2846
12,Kerala,32,KL,10.1 - 15 Years,3480,370,2784,1156
13,Madhya Pradesh,23,MP,10.1 - 15 Years,7101,1624,819,4840
14,Maharashtra,27,MH,10.1 - 15 Years,5154,2153,2850,1305
15,Manipur,14,MN,10.1 - 15 Years,53,11,31,40
16,Meghalaya,17,ML,10.1 - 15 Years,15,10,19,4
17,Mizoram,15,MZ,10.1 - 15 Years,4,3,0,0
18,Nagaland,13,NL,10.1 - 15 Years,97,4,10,36
19,Orissa,21,OD,10.1 - 15 Years,1775,767,923,659
20,Punjab,3,PB,10.1 - 15 Years,1433,1174,425,225
21,Rajasthan,8,RJ,10.1 - 15 Years,2217,1086,465,1548
22,Sikkim,11,SK,10.1 - 15 Years,27,13,32,28
23,Tamil Nadu,33,TN,10.1 - 15 Years,7300,2047,3317,4328
24,Telangana,36,TS,10.1 - 15 Years,2270,797,212,1839
25,Tripura,16,TR,10.1 - 15 Years,31,14,34,0
26,Uttarakhand,9,UP,10.1 - 15 Years,153,69,100,43
27,Uttar Pradesh,5,UK,10.1 - 15 Years,6373,3469,2740,1479
28,West Bengal,19,WB,10.1 - 15 Years,970,509,836,127
29,A & N Islands,35,AN,10.1 - 15 Years,18,5,5,10
30,Chandigarh,4,CH,10.1 - 15 Years,0,0,0,0
31,D & N Haveli,26,DNHDD,10.1 - 15 Years,15,13,8,3
33,Delhi*,7,DL,10.1 - 15 Years,376,102,21,361
34,Jammu & Kashmir,1,JK,10.1 - 15 Years,193,19,223,81
35,Ladakh,38,LA,10.1 - 15 Years,26,3,9,13
36,Lakshadweep,31,LD,10.1 - 15 Years,1,1,0,0
37,Puducherry,34,PY,10.1 - 15 Years,169,22,83,113
1,Andhra Pradesh,37,AD,> 15 Years,1594,586,368,1036
2,Arunachal Pradesh,12,AR,> 15 Years,7,3,5,5
3,Assam,18,AS,> 15 Years,1011,357,738,81
4,Bihar,10,BR,> 15 Years,1113,1039,357,36
5,Chhattisgarh,22,CG,> 15 Years,1498,690,139,944
6,Goa,30,GA,> 15 Years,63,7,5,23
7,Gujarat,24,GJ,> 15 Years,1437,650,920,498
8,Haryana,6,HR,> 15 Years,1430,775,443,1385
9,Himachal Pradesh,2,HP,> 15 Years,148,68,63,110
10,Jharkhand,20,JH,> 15 Years,356,248,225,67
